city1_name,city2_name,weight
Kanchrapara,Kalyani,716.3560520853996
Dispur,Guwahati,1888.050463226452
Panihati,Kamarhati,2226.3898158654238
Kanchrapara,Halisahar,2451.0092374265414
Titagarh,Khardah,2451.735276230052
Halisahar,Bansbaria,3026.4418524658804
Champdani,Bhadreswar,3027.9776777123757
Panihati,Rishra,3029.0984714758765
Naihati,Hugli,3076.376702892155
Shrirampur,Titagarh,3274.8846696623273
Rishra,Khardah,3275.520087355844
Bhatpara,Chandannagar,3425.8730161744447
Bhatpara,Naihati,3722.356875173609
Kamarhati,Bali,3801.875862160842
Kalyan,Ulhasnagar,3880.246763721414
Baidyabati,Bhadreswar,4542.043063083217
Shrirampur,Baidyabati,4903.2188457750535
Delhi,New Delhi,5330.22947384742
Naihati,Halisahar,5565.974539663757
Bezwada,Tadepalle,5844.4486139634
Paloncha,Kottagudem,6053.93335611407
Kolkata,Haora,6148.0659467053565
Chandannagar,Bhadreswar,6220.618288178286
Rajahmundry,Kovvur,6492.758203984802
Mangalagiri,Tadepalle,6722.124786314215
Barasat,Jaynagar-Majilpur,6724.6594988233055
Chandigarh,Mauli,7206.207099848272
Haora,Bali,7356.241177920584
Madhyamgram,Khardah,7525.120016204686
Kamarhati,Dam Dam,7574.142660001265
Ramgundam,Mancheral,7699.16067947508
Hindupur,Parigi,7725.366013507732
Belampalli,Mandamari,8289.877601776638
Secunderabad,Bodupal,9236.090141849358
Ajmer,Pushkar,9556.474557160684
Hyderabad,Secunderabad,9924.633367871418
Mathura,Vrindavan,10965.185121589018
Kalyan,Bhiwandi,11281.040968839521
Kharagpur,Medinipur,11519.500799051164
Machilipatnam,Pedana,11690.430646895213
Asansol,Jamuria,11698.191510500968
Palakollu,Narasapur,12345.293459491279
Pithapuram,Samalkot,12533.872794392593
Nidadavole,Kovvur,12700.427841892055
Pune,Chinchvad,12841.560665936804
Mancheral,Mandamari,12852.080021382379
Asansol,Kulti,12981.169777693958
Chicacole,Amudalavalasa,12990.984575574805
Mysore,Shrirangapattana,13001.75187126496
Jhansi,Orchha,13061.104199423236
Nagari,Puttur,13747.724580447548
Krishnanagar,Navadwip,13755.093049546587
Deo,Aurangabad,13910.711964140228
Koratla,Metpalli,13971.035783730404
Kakinada,Samalkot,14251.324684167292
Sannai,Maihar,14693.880934522867
Mumbai,Uran,14963.557671087974
Chirala,Bapatla,14965.107660758904
Amudalavalasa,Narasannapeta,15284.054543860686
Curchorem,Loutolim,15663.494377304747
Chicacole,Ponduru,16164.54675233432
Ingraj Bazar,Mahadipur,16164.642503664387
Bhilai,Drug,16185.25108748155
Baramula,Sopur,16340.444984352025
Mandapeta,Draksharama,16619.00343356972
Bhubaneshwar,Jatani,17014.49834290072
Ootacamund,Kilkunda,17092.49618758697
Thane,Bhiwandi,17220.584583909822
Chilakalurupet,Pedda Nandipadu,17445.296968429
Thane,Bhayandar,17895.43850613364
Guntur,Mangalagiri,17986.327259916707
Krishnanagar,Shantipur,18166.5109503299
Delhi,Ghaziabad,18251.658913868112
Bhavnagar,Sihor,18714.103086470855
Tanuku,Nidadavole,19192.367798315405
Navsari,Chikhli,19198.280779727556
Bhimavaram,Narasapur,19501.13080034253
Khammam,Niala Kondapalle,19763.149765359918
Rajahmundry,Mandapeta,20078.751873651665
Narasaraopet,Chilakalurupet,20335.709564277924
Tadepallegudem,Nidadavole,20520.610722741145
Narasaraopet,Sattenapalle,20556.369031145387
Sopur,Bandipura,20563.983551799553
Handwara,Sopur,20708.6157611486
Chipurupalle,Ponduru,20859.247517730528
Bhilai,Raipur,20928.315139057882
Shimla,Solan,21003.847722519167
Bhubaneshwar,Cuttack,21049.986237419995
Nizamabad,Bodhan,21092.348790832733
Tenali,Ponnuru,21132.71938748001
Sangli,Ichalkaranji,21226.764000693747
Guntur,Tenali,21271.907191695926
Ongole,Chimakurti,21543.64323632984
Abohar,Malaut,21557.577442342157
Puducherry,Cuddalore,21851.129481307566
Vishakhapatnam,Bhimunipatnam,21942.374270473825
Bharatpur,Fatehpur Sikri,22006.013097307776
Koratla,Jagtial,22240.30936433163
Bhatpara,Habra,22259.479906410183
Panipat,Kairana,22306.10486050554
Madanapalle,Punganuru,22308.912891071468
Bapatla,Ponnuru,22334.80629914155
Kakinada,Draksharama,22605.11305514831
Proddatur,Jammalamadugu,22654.727778206823
Panaji,Loutolim,23194.09853123308
Ahmadabad,Ghandinagar,23498.052893139866
Jaggayyapeta,Niala Kondapalle,23688.896286106396
Indore,Betma,23766.2785945911
Amalapuram,Draksharama,23849.373363807696
Nizamabad,Armur,24051.647025137885
Daman,Silvassa,24139.06870035546
Palakollu,Tanuku,24382.991760706882
Haora,Uluberiya,24522.472127348163
Adoni,Emmiganur,24637.14843361642
Mandya,Shrirangapattana,24845.076137956952
Kolhapur,Ichalkaranji,25237.97326225294
Ponnuru,Pedda Nandipadu,25392.996512988295
Vizianagaram,Bhimunipatnam,25838.110971746624
Vizianagaram,Chipurupalle,25844.822267628784
Punganuru,Palmaner,25894.814184710984
Gudivada,Pedana,26205.278154195184
Moradabad,Rampur,26320.309399221074
Tirupati,Puttur,26336.47857113608
Sirsilla,Dubak,26417.542950205967
Delhi,Faridabad,26622.162877822975
Jalgaon,Bhusaval,27362.733670874066
Mumbai,Thane,27401.833562271768
Kochi,Angamali,27897.158226837502
Addanki,Chimakurti,27910.161651864477
Kulu,Manali,27996.14036072053
Meerut,Hapur,28093.19343390869
Faridabad,Gurgaon,29101.47134936201
Durgapur,Jamuria,29630.52318174207
Anantapur,Pamidi,29743.255803152457
Shantipur,Kalyani,30616.17444762645
Puri,Konarka,30716.192573796692
Ponnuru,Repalle,30751.150510074367
Kothapet,Belampalli,30908.334911022448
Panipat,Karnal,31169.45742211633
Aligarh,Hathras,31309.288978403547
Hassan,Belur,31314.35982644523
Vellore,Chittoor,31333.702507239675
Gadwal,Wanparti,31630.975359115062
Armur,Metpalli,31690.143339653252
Ingraj Bazar,Rajmahal,31760.948749618823
Vishakhapatnam,Anakapalle,32018.358208495203
Ellore,Gudivada,32266.61091104557
Kottagudem,Yellandu,32319.888159740567
Anantapur,Dharmavaram,32417.726857029942
Nandyal,Koilkuntla,32580.212069280326
Guntakal,Pamidi,32823.30363010256
Habra,Bangaon,33062.29222662476
Habra,Basirhat,33252.39044724953
Hassan,Channarayapatna,33277.78909046251
Bobbili,Chipurupalle,33650.76384406797
Kadiri,Pulivendla,33727.11887191044
Jammu,Udhampur,34138.07425631832
Karimnagar,Sirsilla,34316.602073432754
Machilipatnam,Repalle,34421.40103600233
Hathras,Vrindavan,34539.534320152474
Ghaziabad,Hapur,34862.86542927986
Kavali,Kandukur,35224.14408985054
Ongole,Kandukur,35226.71326037491
Mathura,Bharatpur,35252.830594244115
Moradabad,Sambhal,35454.16355381046
Vinukonda,Addanki,35801.656596033325
Kolkata,Barasat,36158.02683773502
Ahmadabad,Dholka,36306.47150333231
Surat,Navsari,36786.48620793052
Agra,Fatehpur Sikri,36906.537436307284
Chilakalurupet,Addanki,37250.33276765797
Agra,Firozabad,37280.13000388231
Kamareddipet,Dubak,37405.02683089999
Chandigarh,Solan,37566.1532106056
New Delhi,Sonipat,37715.307365945235
Patiala,Ambala,37784.44854844445
Hapur,Bulandshahr,38034.73611883447
Mauli,Ambala,38294.46388868491
Shiliguri,Jalpaiguri,38527.33963861766
Nalgonda,Suriapet,38531.38743634881
Srinagar,Sopur,38709.896548489916
Shiliguri,Darjeeling,39053.296842280215
Tirupati,Venkatagiri,39427.629391628136
Tadpatri,Jammalamadugu,39506.346446381904
Chittoor,Palmaner,39742.32190213542
Pithapuram,Tuni,39771.312319341174
Cuddapah,Badvel,40325.54117294251
Trichur,Angamali,40893.89928450129
Cuddapah,Proddatur,41043.1165460914
Haldia,Jaynagar-Majilpur,41486.41066337173
Coimbatore,Palghat,42040.2185431915
Durgapur,Bankura,42248.76269884735
Mahbubnagar,Wanparti,42301.44393522291
Paloncha,Mangur,42371.88237889987
Coimbatore,Tiruppur,42483.02844634593
Dhanbad,Kulti,42855.50389141281
Puri,Jatani,42959.51910694346
Jammalamadugu,Koilkuntla,43208.010983228625
Coimbatore,Kilkunda,43245.92925764541
Khammam,Yellandu,43399.5311088362
Daman,Chikhli,43586.44151857297
Jalandhar,Haripur,43793.814485659466
Burhanpur,Bhusaval,44093.83499231509
Rohtak,Bhiwani,44212.864273722
Rohtak,Sonipat,44612.14714805547
Ellore,Tadepallegudem,45143.30625030452
Panipat,Sonipat,45219.1806833641
Bhuj,Mundra,45319.33852989228
Malegaon,Dhulia,45913.36848554524
Suriapet,Niala Kondapalle,46494.410645826625
Cuddapah,Rayachoti,46941.7125694069
Karimnagar,Jagtial,46957.32733744287
Tadpatri,Pamidi,47089.57238461669
Tinnevelly,Tuticorin,47171.718496426896
Mirzapur,Varanasi,47464.12901329875
Raichur,Gadwal,47615.3653808203
Quilon,Pathanamthitta,47654.85240707899
Darjeeling,Gangtok,47738.48282325538
Khambhat,Dholka,47830.417217640745
Bodhan,Bhainsa,48380.171693887685
Tiruppur,Erode,48709.50113179889
Proddatur,Pulivendla,48791.13556143182
Bareilly,Budaun,48980.40083939012
Nandyal,Giddalur,49229.59947984021
Bareilly,Pilibhit,49367.65736997451
Muzaffarnagar,Kairana,49426.9519807561
Bellary,Guntakal,50011.72646465068
Aligarh,Barehra,50056.736254937736
Trichinopoly,Tanjore,50081.13556791446
Bhopal,Vidisha,50126.14819185151
Rajkot,Jasdan,50960.0596926541
Ghandinagar,Mahesana,51064.456542609354
Bhilwara,Chittaurgarh,51282.510017109715
Gaya,Rajgir,51284.19251595675
Madurai,Dindigul,51371.95568415336
Karimnagar,Ramgundam,51652.307193435125
Khed,Panchgani,51672.92977130523
Kurnool,Gadwal,51894.043943787605
Chennai,Seven Pagodas,51935.9724994591
Indore,Ujjain,51949.80052203611
Chittoor,Nagari,52242.61022291096
Adoni,Guntakal,52319.53752015482
Kochi,Alleppey,52772.68061308021
Alleppey,Pathanamthitta,52801.606934065
Warangal,Jangaon,52920.56022317074
Nalgonda,Devarkonda,52957.38219029493
Ludhiana,Jalandhar,53076.43729920602
Dindigul,Kodaikanal,53183.60296143697
Nellore,Kavali,53405.408870958694
Mangalore,Udipi,53446.372161251216
Amritsar,Khem Karan,53950.544642095345
Srinagar,Kulgam,53968.327386929006
Markapur,Giddalur,54155.36340481813
Raichur,Emmiganur,54856.77680445935
Jamnagar,Mundra,54857.05209776955
Thiruvananthapuram,Quilon,55029.50847063112
Kolar,Punganuru,55250.51138437568
Sattenapalle,Jaggayyapeta,55471.22278876588
Barddhaman,Navadwip,55599.074407714965
Solapur,Osmanabad,55633.155152802305
Hisar,Bhiwani,56110.219218544386
Trichur,Palghat,56563.94423266712
Valparai,Kodaikanal,56761.60617075717
Varanasi,Jaunpur,56776.877519014844
Bellary,Hospet,56826.57760340918
Saharanpur,Muzaffarnagar,56970.01191808106
Vadodara,Nandod,57107.87959343554
Conjeeveram,Nagari,57272.42289351188
Conjeeveram,Seven Pagodas,57642.70025280504
Jamshedpur,Chakradharpur,57881.69665416944
Macherla,Devarkonda,58376.21930723065
Erode,Karur,59055.24272212747
Gaya,Deo,59690.23945014716
Vadodara,Khambhat,59813.18216909747
Salem,Erode,59909.08983730638
Budaun,Barehra,60186.80856783515
Alipur Duar,Gauripur,60332.09591187774
Hyderabad,Vikarabad,60353.4096171327
Latur,Osmanabad,60809.6174451608
Bangalore,Kolar,60833.0120748077
Saharanpur,Dehra Dun,60950.189382383425
Palghat,Valparai,61637.070111583394
Patna,Muzaffarpur,61727.49655015541
Nanded,Parbhani,61738.19880136047
Madanapalle,Rayachoti,61874.35465867079
Anakapalle,Tuni,61959.206249424176
Markapur,Vinukonda,62214.32786736299
Channarayapatna,Shrirangapattana,63031.82776272649
Pathankot,Dharmsala,63068.51425144003
Bareilly,Rampur,63073.13618698519
Aligarh,Bulandshahr,63268.96315467851
Durgapur,Barddhaman,63617.26584837495
Chinchvad,Junnar,64085.43750215975
Bilaspur,Amarkantak,64162.99959513755
Dharmavaram,Parigi,64236.86654730402
Dispur,Shillong,64997.41829058762
Jodhpur,Pali,65434.60085589856
Ingraj Bazar,Balurghat,66680.04916717255
Nanded,Bhainsa,66850.12931824198
Pune,Panchgani,66851.44824336373
Mahbubnagar,Vikarabad,67013.44738330171
Bangalore,Tumkur,67239.11389956085
Purnea,Raiganj,67368.56742008353
Vadodara,Godhra,67982.49698635109
Trichinopoly,Karur,68031.25008844188
Ingraj Bazar,Raiganj,68732.47221937671
Thiruvananthapuram,Nagercoil,69000.83099948242
Tinnevelly,Nagercoil,69343.94639676945
Begusarai,Saharsa,69617.52491615759
Warangal,Karimnagar,69796.39178923535
Patna,Rajgir,70388.81605812674
Sannai,Umaria,70746.63208535661
Itanagar,Jorhat,70890.57226170838
Shimoga,Davangere,71035.14660372761
Chanda,Kothapet,71289.78076353701
Khed Brahma,Abu,71400.68814019833
Amravati,Yavatmal,71541.82533577608
Bareilly,Shahjanpur,72196.72846076702
Bodupal,Jangaon,72379.7920176719
Rajaori,Kulgam,72826.37643991881
Vellore,Tiruvannamalai,73671.4023211256
Firozabad,Etawah,73698.51479200642
Lucknow,Cawnpore,74110.01145162676
Ujjain,Ratlam,74182.47703618249
Bhagalpur,Purnea,74530.30004624256
Tanjore,Negapatam,74813.31116820103
Khed Brahma,Meghraj,74941.01760800608
Kalyan,Junnar,75865.25853011604
Amritsar,Jalandhar,76441.85676534925
Rampur,Naini Tal,76558.52688029509
Rajkot,Jamnagar,77412.33693414941
Bidar,Vikarabad,77478.6606432863
Baharampur,Navadwip,77841.82865821161
Tinnevelly,Rajapalaiyam,78254.78698465806
Hisar,Sirsa,78422.0107069117
Bhavnagar,Khambhat,78749.1887505739
Ranchi,Chakradharpur,79003.00564143049
Dharmsala,Kulu,79209.35667927943
Ratlam,Mandsaur,79415.76935417025
Udhampur,Kulgam,79696.93488882438
Uluberiya,Medinipur,80012.50251880854
Karnal,Ambala,80020.03960098671
Cawnpore,Fatehpur,80862.72170879063
Belgaum,Curchorem,80950.50494213183
Amravati,Akola,81144.9159546526
Mahesana,Khed Brahma,81378.38875173376
Bhagalpur,Saharsa,81666.40531741448
Mirzapur,Allahabad,81847.67725344012
Dhulia,Jalgaon,82467.63849216652
Dehra Dun,Lansdowne,82969.67068057685
Alipur Duar,Jalpaiguri,83107.27666212834
Ludhiana,Patiala,83209.19895929693
Begusarai,Rajgir,83648.25091135764
Haripur,Dharmsala,83834.31907321603
Jalor,Abu,84829.63453063954
Pali,Jalor,85130.91920892814
Baharampur,Mahadipur,85174.11557569762
Nasik,Silvassa,85452.32415551246
Jaipur,Tonk,85634.37413198299
Chanda,Adilabad,86269.46874329624
Puducherry,Seven Pagodas,86676.92069923798
Hubli,Belgaum,87587.31713038118
Sihor,Jasdan,87622.17149307243
Shahjanpur,Sitalpur,87785.1084774549
Pathankot,Udhampur,88268.6348701088
Udaipur,Khed Brahma,89282.54207681156
Lucknow,Sitalpur,89317.3117318403
Nasik,Junnar,89631.0964360304
Tumkur,Channarayapatna,90644.60822125385
Ahmadnagar,Junnar,90672.40922417081
Bahraigh,Sitalpur,90734.93612921172
Shimoga,Belur,91445.32254110316
Yavatmal,Adilabad,91725.48905767468
Raurkela,Chakradharpur,91792.11187612603
Belgaum,Ichalkaranji,92817.90278155588
Sirsa,Malaut,93241.96820345426
Gwalior,Jhansi,93283.13983965159
Porbandar,Dwarka,93501.03072419135
Calicut,Trichur,94615.30045308731
Alwar,Bharatpur,94678.34280500843
Imphal,Kohima,95785.06846178873
Itanagar,Tezpur,96560.29380090725
Surat,Bhavnagar,97686.57996768158
Gulbarga,Bidar,97861.17058917643
Solapur,Bijapur,97977.91858583079
Parbhani,Latur,98895.09579260241
Mysore,Ootacamund,100286.09180555672
Jabalpur,Umaria,100538.2602267612
Bhuj,Naliya,100573.82835285505
Nasik,Malegaon,100787.83067299904
Udaipur,Chittaurgarh,101019.50762884915
Saugor,Vidisha,102857.48493980127
Jamshedpur,Bankura,103443.28236397283
Dwarka,Mundra,103606.88231582046
Gwalior,Etawah,103622.06208524933
Jaipur,Alwar,103660.45318321262
Maihar,Khajuraho,104909.8564951793
Jaipur,Sikar,105660.25527449153
Mandsaur,Chittaurgarh,106246.04182858892
Aurangabad,Ahmadnagar,107965.84621851606
Kota,Tonk,108110.08626776647
Bahraigh,Fyzabad,108773.96630214775
Raipur,Bilaspur,108988.99020085478
Akola,Burhanpur,110264.59256547214
Shimoga,Udipi,110395.96368067812
Dibrugarh,Jorhat,112636.58228167
Allahabad,Fatehpur,114590.11224922082
Guwahati,Tezpur,115407.13543655642
Imphal,Silchar,117262.8924256543
Raiganj,Jalpaiguri,117639.64231246189
Gorakhpur,Fyzabad,118958.62073657187
Brahmapur,Puri,119283.75268176282
Ajmer,Tonk,120170.98222348417
Aizawl,Silchar,120434.78677716196
Kohima,Jorhat,120983.30396691184
Kota,Bhilwara,121949.86997711289
Sangli,Bijapur,122475.98412239747
Raurkela,Sambalpur,128092.2503363612
Brahmapur,Narasannapeta,128362.95263567826
Nagpur,Yavatmal,129674.03560283034
Umaria,Amarkantak,133695.07038339545
Tuticorin,Rameswaram,139675.85671275802
Khajuraho,Orchha,141757.37253104913
Jabalpur,Saugor,142768.2955900059
Jasdan,Diu,147471.22832012546
Agartala,Aizawl,148684.87733126117
Varanasi,Aurangabad,150799.16677419265
Guwahati,Gauripur,179834.299533242
Bikaner,Sikar,185074.88648661366
Jodhpur,Jaisalmer,220296.75652678177
Calicut,Kavaratti,350564.3747248307
Port Blair,Konarka,1159610.557480577
